title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_GRDI
		ENVO:00000022	River						environmental_site:
			River Surface						environmental_site:
			Roast						food_product:
			Rolled						
		ENVO:00000029	Run Off						environmental_material:
		FOODON:03315904	Sausage						food_product:
			Scallopini						food_product:
		ENVO:00002007	Sediment						environmental_material:
		FOODON:03310306	Sesame Seed						food_product:
			Shelf / Sill						environmental_site:
		FOODON:03411433	Shellfish						food_product:
		UBERON:0001467	Shoulder						food_product:
		UBERON:0001467	Shoulder Chop						food_product:
			Shoulder chop non-seasoned						food_product:
		PATO:0000387	Soft						food_product:
		FOODON:03301415	Soybean						food_product:
		FOODON:03301716	Spinach						food_product:
		FOODON:03420102	Sprouted Seeds						food_product:
		FOODON:03420183	Sprouts						food_product:
			Stall						environmental_site:
			Steak						food_product:
		FOODON:00003140	Stew Chunks						food_product:
		CURATION:0000247	Surface - Other						environmental_site:
			Surface - River						environmental_site:
		CURATION:0000247	Surface unspecified						environmental_site:
		ENVO:00002042	Surface Water						environmental_site:
		FOODON:03530217	Tenderloin						food_product:
		UBERON:0000376	Thigh						food_product:
			Thigh with skin						food_product:
			Transformer						environmental_site:
		ENVO:01000602	Truck / Trailer						environmental_site:
		ENVO:01000602	Truck/Trailer						environmental_site:
		FOODON:03310841	Turmeric						food_product:
			Unknown						
		CURATION:0000247	Unknown Surface						environmental_site:
			Unspecified						
		UBERON:0000376	Upper Thigh						food_product:
			Upper Thigh with Skin						food_product:
			Wall						environmental_site:
		FOODON:03315233	Walnut						food_product:
		ENVO:00002001	Waste Water						environmental_material:
			Watering bowl/equipment						environmental_site:
		FOODON:03430131	Whole						food_product:
		UBERON:0000023	Wings						food_product:
		CURATION:0000247	Working Surface						environmental_site:
		FOODON:03411345	Yeast						food_product:
									
