Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000503	core field	n_alkanes	xs:token		Concentration of n-alkanes; can include multiple n-alkanes	n-hexadecane;100 milligram per liter	"Expected value: n-alkane name;measurement value. Preferred unit: micromole per liter. Occurrence: m. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000425	core field	nitrate	xs:token		Concentration of nitrate in the sample	65 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 61.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water"					
MIXS:0000426	core field	nitrite	xs:token		Concentration of nitrite in the sample	0.5 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 62.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000504	core field	nitro	xs:token		Concentration of nitrogen (total)	4.2 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000508	core field	org_carb	xs:token		Concentration of organic carbon	1.5 microgram per liter	"Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000204	core field	org_matter	xs:token		Concentration of organic matter	1.75 milligram per cubic meter	"Expected value: measurement value. Preferred unit: microgram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000205	core field	org_nitro	xs:token		Concentration of organic nitrogen	4 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000103	core field	organism_count	select		"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)"	total prokaryotes;3.5e7 cells per milliliter;qPCR	"Expected value: organism name;measurement value;enumeration. Preferred unit: number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, built environment, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000753	core field	oxy_stat_samp	select		Oxygenation status of sample	aerobic	"Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000515	core field	part_org_carb	xs:token		Concentration of particulate organic carbon	1.92 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
